"鄉鎮市區","土地區段位置或建物區門牌","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","編號"
"內湖區","臺北市內湖區內湖路二段263巷1~30號","住",1060627,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,90.68,7,2,4,"有","無",11000000,121306,"RPPQMLLMPHMFFCA97CA"
"內湖區","臺北市內湖區成功路三段121~150號","商",1060706,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",760609,115.03,3,2,2,"有","有",19500000,169521,"RPPNMLLJQHMFFCA47CA"
"中山區","臺北市中山區林森北路85巷61~90號","商",1060704,"土地1建物1車位0","六層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",960718,31.1,1,1,1,"有","有",6880000,221222,"RPVNMLKKQHMFFCA08CA"
"中山區","臺北市中山區雙城街3巷1~30號","商",1060704,"土地1建物12車位0","地下一層","十五層","辦公商業大樓","商業用","鋼筋混凝土造",841201,514.2,0,0,0,"無","有",27000000,52509,"RPXPMLTJQHMFFCA66CA"
"大同區","臺北市大同區酒泉街61~90號","住",1060630,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",710511,127.14,3,1,2,"有","無",15500000,121913,"RPWNMLTLQHMFFBA09CA"
"中正區","臺北市中正區忠孝東路一段121~150號","商",1060720,"土地1建物2車位0","六層","十一層","辦公商業大樓","住家用","鋼筋混凝土造",630916,408.04,0,0,2,"無","有",79500000,194834,"RPPOMLLMPHMFFBA67CA"
"萬華區","臺北市萬華區萬大路493巷31~60號","住",1060707,"土地2建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",750909,112.87,4,3,3,"有","無",5900000,52273,"RPUOMLLMPHMFFBA18CA"
"大同區","臺北市大同區民族西路271~300號","住",1060711,"土地1建物1車位0","全","一層","透天厝","住家用","磚造",NA,36.38,1,0,0,"有","無",13790000,379054,"RPPNMLPJQHMFFBA77CA"
"大同區","臺北市大同區寧夏路151~180號","商",1060628,"土地2建物1車位0","六層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1001207,76.26,1,1,1,"有","有",13650000,178993,"RPPNMLQJQHMFFBA87CA"
"萬華區","臺北市萬華區青年路68巷1~30號","住",1060715,"土地2建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",640403,31.18,2,1,1,"有","無",4700000,150738,"RPRPMLRJQHMFFBA38CA"
"萬華區","臺北市萬華區西寧南路31~60號","商",1060721,"土地1建物1車位0","三層","十層","其他","商業用","預力混凝土造",671215,9.8,0,0,0,"無","有",650000,66327,"RPPNMLSJQHMFFBA08CA"
"大同區","臺北市大同區民權西路133巷1~30號","住",1060607,"土地1建物1車位0","全","二層","透天厝",NA,"加強磚造",NA,121.48,3,2,3,"有","無",37000000,304577,"RPVNMLOJQHMFFBA28CA"
"中正區","臺北市中正區仁愛路二段38巷7弄1~30號","住",1060701,"土地5建物1車位0","五層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",820914,40.69,1,0,1,"有","無",10500000,258049,"RPXOMLOJQHMFFBA58CA"
"萬華區","臺北市萬華區青年路30巷1~30號","住",1060626,"土地1建物1車位0","九層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",760316,110.82,3,2,2,"有","有",16550000,149341,"RPROMLLJQHMFFBA67CA"
"文山區","臺北市文山區景福街241~270號","住",1060621,"土地2建物1車位0","一層","六層","店面(店鋪)","住家用","鋼筋混凝土造",600114,187.32,0,1,1,"有","有",53500000,285608,"RPUPMLLJQHMFFAA97CA"
"文山區","臺北市文山區育英街31巷38弄1~30號","住",1060716,"土地1建物1車位0","四層，陽台","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",610418,80.62,3,2,1,"有","無",12200000,151327,"RPQNMLMJQHMFFAA47CA"
